Health,Age,Gender,White,Mixed,Asian,African,Others,Region,Disability_Type
Very good,Children&Teens,Males,"3,74,681","84,984","1,57,820","1,50,310","32,197",Greater London,Disabled
Very good,Adults,Males,"12,06,166","84,356","4,18,776","2,40,034","79,892",Greater London,Disabled
Very good,Middle aged,Males,"2,91,225","6,519","60,700","40,180","10,134",Greater London,Disabled
Very good,Seniors,Males,"1,55,450","2,505","21,686","13,203","2,895",Greater London,Disabled
Fair,Children&Teens,Males,"9,044","2,874","5,096","4,841","1,134",Greater London,Disabled
Fair,Adults,Males,"80,942","7,057","29,972","19,648","7,571",Greater London,Disabled
Fair,Middle aged,Males,"74,307","2,134","20,431","8,946","3,832",Greater London,Disabled
Fair,Seniors,Males,"1,02,138","1,967","18,243","11,433","2,395",Greater London,Disabled
Bad,Children&Teens,Males,"3,016",817,"1,476","1,566",415,Greater London,Disabled
Bad,Adults,Males,"32,701","3,016","9,315","7,693","4,655",Greater London,Disabled
Bad,Middle aged,Males,"38,790","1,344","9,444","4,246","2,987",Greater London,Disabled
Bad,Seniors,Males,"46,337",973,"9,517","5,674","1,589",Greater London,Disabled
Very good,Children&Teens,Males,"3,197",777,"1,185","1,587",265,Greater London,Severly_limited
Very good,Adults,Males,"7,560",873,"2,523","2,606",656,Greater London,Severly_limited
Very good,Middle aged,Males,"3,660",153,926,773,186,Greater London,Severly_limited
Very good,Seniors,Males,"6,677",156,"1,155",837,138,Greater London,Severly_limited
Fair,Children&Teens,Males,"1,953",545,652,851,168,Greater London,Severly_limited
Fair,Adults,Males,"11,458","1,161","2,821","3,226","1,074",Greater London,Severly_limited
Fair,Middle aged,Males,"11,207",339,"2,723","1,520",604,Greater London,Severly_limited
Fair,Seniors,Males,"28,112",505,"4,946","3,007",636,Greater London,Severly_limited
Bad,Children&Teens,Males,"1,848",486,793,862,203,Greater London,Severly_limited
Bad,Adults,Males,"22,023","1,840","5,437","4,873","3,071",Greater London,Severly_limited
Bad,Middle aged,Males,"28,615",953,"6,525","3,042","2,174",Greater London,Severly_limited
Bad,Seniors,Males,"37,749",739,"7,552","4,326","1,255",Greater London,Severly_limited
Very good,Children&Teens,Males,"5,926","1,401","1,802","2,085",393,Greater London,Limited
Very good,Adults,Males,"22,801","2,080","7,430","5,405","1,813",Greater London,Limited
Very good,Middle aged,Males,"13,323",320,"3,345","1,659",567,Greater London,Limited
Very good,Seniors,Males,"22,750",339,"3,692","1,752",417,Greater London,Limited
Fair,Children&Teens,Males,"2,637",777,"1,019","1,198",249,Greater London,Limited
Fair,Adults,Males,"22,084","1,953","6,874","5,235","2,270",Greater London,Limited
Fair,Middle aged,Males,"25,041",697,"6,512","2,686","1,363",Greater London,Limited
Fair,Seniors,Males,"44,582",755,"7,650","4,116","1,034",Greater London,Limited
Bad,Children&Teens,Males,515,150,229,247,71,Greater London,Limited
Bad,Adults,Males,"6,778",714,"2,173","1,622","1,062",Greater London,Limited
Bad,Middle aged,Males,"7,754",285,"2,099",774,617,Greater London,Limited
Bad,Seniors,Males,"6,878",158,"1,525",966,243,Greater London,Limited
Very good,Children&Teens,Males,"3,65,558","82,806","1,54,833","1,46,638","31,539",Greater London,Not_Limited
Very good,Adults,Males,"11,75,805","81,403","4,08,823","2,32,023","77,423",Greater London,Not_Limited
Very good,Middle aged,Males,"2,74,242","6,046","56,429","37,748","9,381",Greater London,Not_Limited
Very good,Seniors,Males,"1,26,023","2,010","16,839","10,614","2,340",Greater London,Not_Limited
Fair,Children&Teens,Males,"4,454","1,552","3,425","2,792",717,Greater London,Not_Limited
Fair,Adults,Males,"47,400","3,943","20,277","11,187","4,227",Greater London,Not_Limited
Fair,Middle aged,Males,"38,059","1,098","11,196","4,740","1,865",Greater London,Not_Limited
Fair,Seniors,Males,"29,444",707,"5,647","4,310",725,Greater London,Not_Limited
Bad,Children&Teens,Males,653,181,454,457,141,Greater London,Not_Limited
Bad,Adults,Males,"3,900",462,"1,705","1,198",522,Greater London,Not_Limited
Bad,Middle aged,Males,"2,421",106,820,430,196,Greater London,Not_Limited
Bad,Seniors,Males,"1,710",76,440,382,91,Greater London,Not_Limited
Very good,Children&Teens,Females,"3,57,777","83,966","1,51,946","1,47,621","30,080",Greater London,Disabled
Very good,Adults,Females,"11,77,570","88,749","3,88,368","2,79,627","65,578",Greater London,Disabled
Very good,Middle aged,Females,"2,94,838","7,824","60,989","46,535","8,517",Greater London,Disabled
Very good,Seniors,Females,"1,91,734","2,727","17,851","15,036","2,387",Greater London,Disabled
Fair,Children&Teens,Females,"6,805","2,118","4,048","3,881",896,Greater London,Disabled
Fair,Adults,Females,"88,586","9,322","37,757","31,033","7,924",Greater London,Disabled
Fair,Middle aged,Females,"73,540","2,753","26,459","14,752","3,765",Greater London,Disabled
Fair,Seniors,Females,"1,45,123","2,383","21,378","15,783","2,724",Greater London,Disabled
Bad,Children&Teens,Females,"2,130",634,"1,135","1,153",307,Greater London,Disabled
Bad,Adults,Females,"33,209","3,321","11,560","10,347","3,863",Greater London,Disabled
Bad,Middle aged,Females,"35,880","1,642","13,341","6,692","3,070",Greater London,Disabled
Bad,Seniors,Females,"65,446","1,294","14,238","8,406","2,234",Greater London,Disabled
Very good,Children&Teens,Females,"1,400",358,758,854,176,Greater London,Severly_limited
Very good,Adults,Females,"5,689",678,"1,978","2,479",428,Greater London,Severly_limited
Very good,Middle aged,Females,"3,440",174,"1,086",969,163,Greater London,Severly_limited
Very good,Seniors,Females,"10,891",197,"1,199","1,098",147,Greater London,Severly_limited
Fair,Children&Teens,Females,"1,114",291,401,479,101,Greater London,Severly_limited
Fair,Adults,Females,"11,038","1,069","3,135","3,643",829,Greater London,Severly_limited
Fair,Middle aged,Females,"12,119",456,"4,112","2,684",700,Greater London,Severly_limited
Fair,Seniors,Females,"49,476",713,"6,667","4,864",858,Greater London,Severly_limited
Bad,Children&Teens,Females,"1,236",360,591,562,141,Greater London,Severly_limited
Bad,Adults,Females,"22,490","2,031","6,650","6,341","2,407",Greater London,Severly_limited
Bad,Middle aged,Females,"27,186","1,202","9,403","4,657","2,232",Greater London,Severly_limited
Bad,Seniors,Females,"56,213","1,032","11,643","6,749","1,863",Greater London,Severly_limited
Very good,Children&Teens,Females,"3,315",923,"1,289","1,425",244,Greater London,Limited
Very good,Adults,Females,"22,525","2,217","7,652","6,547","1,549",Greater London,Limited
Very good,Middle aged,Females,"15,405",507,"4,398","2,690",640,Greater London,Limited
Very good,Seniors,Females,"33,411",472,"3,545","2,653",408,Greater London,Limited
Fair,Children&Teens,Females,"2,014",597,726,949,207,Greater London,Limited
Fair,Adults,Females,"26,914","2,810","9,829","8,330","2,609",Greater London,Limited
Fair,Middle aged,Females,"28,400","1,039","10,237","4,888","1,560",Greater London,Limited
Fair,Seniors,Females,"62,878",972,"9,520","6,266","1,242",Greater London,Limited
Bad,Children&Teens,Females,382,115,182,222,50,Greater London,Limited
Bad,Adults,Females,"7,409",854,"2,992","2,367",975,Greater London,Limited
Bad,Middle aged,Females,"6,700",327,"3,052","1,365",674,Greater London,Limited
Bad,Seniors,Females,"7,494",187,"1,987","1,184",289,Greater London,Limited
Very good,Children&Teens,Females,"3,53,062","82,685","1,49,899","1,45,342","29,660",Greater London,Not_Limited
Very good,Adults,Females,"11,49,356","85,854","3,78,738","2,70,601","63,601",Greater London,Not_Limited
Very good,Middle aged,Females,"2,75,993","7,143","55,505","42,876","7,714",Greater London,Not_Limited
Very good,Seniors,Females,"1,47,432","2,058","13,107","11,285","1,832",Greater London,Not_Limited
Fair,Children&Teens,Females,"3,677","1,230","2,921","2,453",588,Greater London,Not_Limited
Fair,Adults,Females,"50,634","5,443","24,793","19,060","4,486",Greater London,Not_Limited
Fair,Middle aged,Females,"33,021","1,258","12,110","7,180","1,505",Greater London,Not_Limited
Fair,Seniors,Females,"32,769",698,"5,191","4,653",624,Greater London,Not_Limited
Bad,Children&Teens,Females,512,159,362,369,116,Greater London,Not_Limited
Bad,Adults,Females,"3,310",436,"1,918","1,639",481,Greater London,Not_Limited
Bad,Middle aged,Females,"1,994",113,886,670,164,Greater London,Not_Limited
Bad,Seniors,Females,"1,739",75,608,473,82,Greater London,Not_Limited
Very good,Children&Teens,Males,"41,52,315","2,69,651","5,08,603","2,47,373","66,309",England & Wales,Disabled
Very good,Adults,Males,"97,40,029","2,50,636","11,32,186","4,49,287","1,73,960",England & Wales,Disabled
Very good,Middle aged,Males,"33,48,456","21,267","1,52,742","69,070","21,941",England & Wales,Disabled
Very good,Seniors,Males,"20,18,522","7,891","50,104","22,327","5,880",England & Wales,Disabled
